Timestep	mean reward (100 episodes)	best mean reward	episodes	exploration	learning_rate
2540000	-20.73	-17.45	2368	0.06534999999999999	8.075000000000001e-05
2550000	-20.66	-17.45	2380	0.065125	8.062500000000001e-05
2560000	-20.84	-17.45	2393	0.0649	8.05e-05
2570000	-20.91	-17.45	2406	0.06467500000000001	8.0375e-05
2580000	-20.91	-17.45	2419	0.06445000000000001	8.025e-05
2590000	-20.91	-17.45	2432	0.064225	8.012500000000001e-05
2600000	-20.91	-17.45	2445	0.064	8e-05
2610000	-20.91	-17.45	2459	0.063775	7.9875e-05
2620000	-20.91	-17.45	2472	0.06355	7.975e-05
2630000	-21.0	-17.45	2485	0.063325	7.9625e-05
2640000	-21.0	-17.45	2498	0.0631	7.950000000000001e-05
2650000	-20.98	-17.45	2511	0.062875	7.9375e-05
2660000	-20.79	-17.45	2522	0.06265000000000001	7.925e-05
2670000	-20.79	-17.45	2535	0.062425	7.912500000000001e-05
2680000	-20.79	-17.45	2548	0.062200000000000005	7.900000000000001e-05
2690000	-20.79	-17.45	2561	0.061975	7.8875e-05
2700000	-20.79	-17.45	2574	0.06175	7.875e-05
2710000	-20.79	-17.45	2588	0.061525	7.8625e-05
2720000	-20.74	-17.45	2600	0.0613	7.850000000000001e-05
2730000	-20.75	-17.45	2613	0.061075000000000004	7.837500000000001e-05
2740000	-20.78	-17.45	2624	0.06085	7.825e-05
2750000	-20.77	-17.45	2637	0.060625	7.8125e-05
2760000	-20.77	-17.45	2650	0.0604	7.8e-05
2770000	-20.67	-17.45	2662	0.060175	7.787500000000001e-05
2780000	-20.67	-17.45	2675	0.05995	7.775e-05
2790000	-20.67	-17.45	2688	0.059725	7.7625e-05
2800000	-20.73	-17.45	2701	0.0595	7.75e-05
2810000	-20.73	-17.45	2714	0.059275	7.7375e-05
2820000	-20.9	-17.45	2728	0.05905	7.725000000000001e-05
2830000	-20.9	-17.45	2739	0.058825	7.7125e-05
2840000	-20.79	-17.45	2752	0.0586	7.7e-05
2850000	-20.89	-17.45	2765	0.058374999999999996	7.6875e-05
2860000	-20.89	-17.45	2779	0.05815	7.675e-05
2870000	-20.89	-17.45	2792	0.057925	7.6625e-05
2880000	-20.89	-17.45	2805	0.0577	7.65e-05
2890000	-20.59	-17.45	2814	0.057475000000000005	7.6375e-05
2900000	-20.55	-17.45	2827	0.05725	7.625000000000001e-05
2910000	-20.63	-17.45	2840	0.057025	7.612500000000001e-05
2920000	-20.63	-17.45	2853	0.0568	7.6e-05
2930000	-20.63	-17.45	2866	0.056575	7.5875e-05
2940000	-20.62	-17.45	2879	0.056350000000000004	7.575e-05
2950000	-20.62	-17.45	2892	0.056125	7.562500000000001e-05
2960000	-20.62	-17.45	2905	0.0559	7.55e-05
2970000	-20.92	-17.45	2918	0.055675	7.5375e-05
2980000	-20.96	-17.45	2931	0.05545	7.525e-05
2990000	-20.96	-17.45	2944	0.055225	7.5125e-05
3000000	-20.96	-17.45	2958	0.055	7.500000000000001e-05
3010000	-20.96	-17.45	2971	0.054775000000000004	7.4875e-05
3020000	-20.97	-17.45	2984	0.05455	7.475e-05
3030000	-20.97	-17.45	2997	0.054325000000000005	7.462500000000001e-05
3040000	-20.97	-17.45	3010	0.0541	7.45e-05
3050000	-20.97	-17.45	3024	0.053875000000000006	7.4375e-05
3060000	-21.0	-17.45	3037	0.053649999999999996	7.425e-05
3070000	-21.0	-17.45	3050	0.053425	7.4125e-05
3080000	-21.0	-17.45	3063	0.0532	7.400000000000001e-05
